id	guidislink	link	title	published	updated	summary	alertFor	pub_date	domain	direct_link	domain_name	Ingestion_date
439175872561252414	True	https://www.google.com/url?rct=j&sa=t&url=https://sourcingjournal.com/topics/logistics/west-coast-dockworkers-ilwu-pma-port-trade-xcelerators-nearshoring-mexico-382853/&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw3pgu90TbhzCcg-2TK-8Ztq	Why This <b>Logistics</b> Exec Says West Coast Dockworkers Won't Strike - Sourcing Journal	2022-10-24 02:07:29	2022-10-24 02:07:29	"Trade XCelerators LLC co-founder Dan Gardner also explained why a major apparel movement should be a ""cause for alarm"" for ports."	Trade & Logistics	Monday 24. October 2022	https://sourcingjournal.com/topics/logistics/west-coast-dockworkers-ilwu-pma-port-trade-xcelerators-nearshoring-mexico-382853/&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw3pgu90TbhzCcg-2TK-8Ztq	https://sourcingjournal.com/topics/logistics/west-coast-dockworkers-ilwu-pma-port-trade-xcelerators-nearshoring-mexico-382853/	sourcingjournal	2022-10-24 08:24:43 +0400
16718325589384534154	True	https://www.google.com/url?rct=j&sa=t&url=https://www.dollarsandsense.org/archives/2022/0922barclay.html&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw1JwrNHS7znXpdFCObq5iTX	SWIFT, the U.S. Dollar, and the Global Political Economy of <b>Trade</b> | Dollars &amp; Sense	2022-10-23 17:41:33	2022-10-23 17:41:33	The Financial Logistics of International Trade. The transport of these and other goods is an issue of physical logistics, involving container ships,&nbsp;...	Trade & Logistics	Sunday 23. October 2022	https://www.dollarsandsense.org/archives/2022/0922barclay.html&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw1JwrNHS7znXpdFCObq5iTX	https://www.dollarsandsense.org/archives/2022/0922barclay.html	dollarsandsense	2022-10-24 08:24:43 +0400
4784091540048508681	True	https://www.google.com/url?rct=j&sa=t&url=https://www.bworldonline.com/agribusiness/2022/10/24/482330/davao-de-oro-targets-poultry-coconut-logistics-investments/&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw0GWXzUAStVy3URMnyLui_m	Davao de Oro targets poultry, coconut, <b>logistics</b> investments - BusinessWorld Online	2022-10-23 17:12:43	2022-10-23 17:12:43	... coconut, and transport and logistics. Trade and Industry Provincial Director Lucky Siegfred M. Balleque said the province is promoting poultry&nbsp;...	Trade & Logistics	Sunday 23. October 2022	https://www.bworldonline.com/agribusiness/2022/10/24/482330/davao-de-oro-targets-poultry-coconut-logistics-investments/&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw0GWXzUAStVy3URMnyLui_m	https://www.bworldonline.com/agribusiness/2022/10/24/482330/davao-de-oro-targets-poultry-coconut-logistics-investments/	bworldonline	2022-10-24 08:24:43 +0400
13791037256906394995	True	https://www.google.com/url?rct=j&sa=t&url=https://www.globaltrademag.com/cold-hard-facts-the-future-of-health-systems-is-third-party-logistics/&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw3ivdc-T7PhqjrdBdzNqZxx	COLD HARD FACTS: The Future of Health Systems is Third-Party <b>Logistics</b>	2022-10-23 09:05:20	2022-10-23 09:05:20	By relying on third-party logistics from a company with a wide range of shipping expertise—from pharmacy mail-order to ... Global Trade Daily.	Trade & Logistics	Sunday 23. October 2022	https://www.globaltrademag.com/cold-hard-facts-the-future-of-health-systems-is-third-party-logistics/&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw3ivdc-T7PhqjrdBdzNqZxx	https://www.globaltrademag.com/cold-hard-facts-the-future-of-health-systems-is-third-party-logistics/	globaltrademag	2022-10-24 08:24:43 +0400
11708864521716587073	True	https://www.google.com/url?rct=j&sa=t&url=https://www.youtube.com/watch%3Fv%3D9lhO6nHRSwQ&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw1NOGyvZ-d8bd-d5VuoJQst	A PROMISING <b>LOGISTICS</b> HUB/VIỆT NAM – TRUNG TÂM <b>LOGISTICS</b> TIỀM NĂNG | VTV4	2022-10-23 08:01:02	2022-10-23 08:01:02	Logistics has been one of Vietnam's fastest-growing and stable sectors, ... Solid economic fundamentals, along with open trade and a strong&nbsp;...	Trade & Logistics	Sunday 23. October 2022	https://www.youtube.com/watch%3Fv%3D9lhO6nHRSwQ&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw1NOGyvZ-d8bd-d5VuoJQst	https://www.youtube.com/watch%3Fv%3D9lhO6nHRSwQ	youtube	2022-10-24 08:24:43 +0400
18250186534606206815	True	https://www.google.com/url?rct=j&sa=t&url=https://www.globaltimes.cn/page/202210/1277717.shtml&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw20p1NvIAWhREkhXxVCWnEu	Southwest China's land-sea rail corridor receives 7,000th freight train - Global Times	2022-10-23 06:13:00	2022-10-23 06:13:00	Launched in 2017, the New International Land-Sea Trade Corridor is a trade and logistics passage jointly built by western Chinese provinces and&nbsp;...	Trade & Logistics	Sunday 23. October 2022	https://www.globaltimes.cn/page/202210/1277717.shtml&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw20p1NvIAWhREkhXxVCWnEu	https://www.globaltimes.cn/page/202210/1277717.shtml	globaltimes	2022-10-24 08:24:43 +0400
8545335721831409530	True	https://www.google.com/url?rct=j&sa=t&url=https://www.fibre2fashion.com/news/textiles-logistics-news/red-arts-capital-completes-acquisition-of-us-flex-logistics-283753-newsdetails.htm&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw3BJvfNSZjAIJ97SVmQ_NbJ	Red Arts Capital completes acquisition of US' Flex <b>Logistics</b> - Fibre2Fashion	2022-10-23 04:12:10	2022-10-23 04:12:10	“Having an established, successful company like Flex Logistics join ... JIAM - Japan international apparel machinery &amp; textile industry trade show.	Trade & Logistics	Sunday 23. October 2022	https://www.fibre2fashion.com/news/textiles-logistics-news/red-arts-capital-completes-acquisition-of-us-flex-logistics-283753-newsdetails.htm&ct=ga&cd=CAIyGjZiNGI4N2I5M2NjZTczNmQ6Y29tOmVuOlVT&usg=AOvVaw3BJvfNSZjAIJ97SVmQ_NbJ	https://www.fibre2fashion.com/news/textiles-logistics-news/red-arts-capital-completes-acquisition-of-us-flex-logistics-283753-newsdetails.htm	fibre2fashion	2022-10-24 08:24:43 +0400
17211224734766032653	True	https://www.google.com/url?rct=j&sa=t&url=https://sourcingjournal.com/topics/logistics/west-coast-dockworkers-ilwu-pma-port-trade-xcelerators-nearshoring-mexico-382853/&ct=ga&cd=CAIyGjAyZGMwZGVhNjQ5ZTY3OWY6Y29tOmVuOlVT&usg=AOvVaw3pgu90TbhzCcg-2TK-8Ztq	Why This <b>Logistics</b> Exec Says West Coast Dockworkers Won't Strike - Sourcing Journal	2022-10-24 02:07:29	2022-10-24 02:07:29	"Trade XCelerators LLC co-founder Dan Gardner also explained why a major apparel movement should be a ""cause for alarm"" for ports."	Logistics	Monday 24. October 2022	https://sourcingjournal.com/topics/logistics/west-coast-dockworkers-ilwu-pma-port-trade-xcelerators-nearshoring-mexico-382853/&ct=ga&cd=CAIyGjAyZGMwZGVhNjQ5ZTY3OWY6Y29tOmVuOlVT&usg=AOvVaw3pgu90TbhzCcg-2TK-8Ztq	https://sourcingjournal.com/topics/logistics/west-coast-dockworkers-ilwu-pma-port-trade-xcelerators-nearshoring-mexico-382853/	sourcingjournal	2022-10-24 08:24:43 +0400
2066644050652769342	True	https://www.google.com/url?rct=j&sa=t&url=https://www.navy.mil/Press-Office/News-Stories/Article/3194371/fleet-readiness-center-east-logistician-named-navys-best/&ct=ga&cd=CAIyGjAyZGMwZGVhNjQ5ZTY3OWY6Y29tOmVuOlVT&usg=AOvVaw0Nuv9nJbZRpyq22zsIFhSI	Fleet Readiness Center East logistician named Navy's best	2022-10-24 01:36:32	2022-10-24 01:36:32	MARINE CORPS AIR STATION CHERRY POINT, N.C. - Fleet Readiness Center East Maintenance, Repair and Overhaul Logistics Department Head Stephen&nbsp;...	Logistics	Monday 24. October 2022	https://www.navy.mil/Press-Office/News-Stories/Article/3194371/fleet-readiness-center-east-logistician-named-navys-best/&ct=ga&cd=CAIyGjAyZGMwZGVhNjQ5ZTY3OWY6Y29tOmVuOlVT&usg=AOvVaw0Nuv9nJbZRpyq22zsIFhSI	https://www.navy.mil/Press-Office/News-Stories/Article/3194371/fleet-readiness-center-east-logistician-named-navys-best/	navy	2022-10-24 08:24:43 +0400
14018663183490370630	True	https://www.google.com/url?rct=j&sa=t&url=https://economictimes.indiatimes.com/news/economy/infrastructure/dp-world-aims-to-expand-multimodal-logistics-operations-says-india-ceo-rizwan-soomar/articleshow/95055409.cms&ct=ga&cd=CAIyGjAyZGMwZGVhNjQ5ZTY3OWY6Y29tOmVuOlVT&usg=AOvVaw0OPWgXnIlP9bdqBtcPaWZQ	DP World aims to expand multimodal <b>logistics</b> operations, says India CEO Rizwan Soomar	2022-10-24 01:34:25	2022-10-24 01:34:25	The company is into contract logistics, cold chain business, express logistics and has also entered the private rail business, said Soomar.	Logistics	Monday 24. October 2022	https://economictimes.indiatimes.com/news/economy/infrastructure/dp-world-aims-to-expand-multimodal-logistics-operations-says-india-ceo-rizwan-soomar/articleshow/95055409.cms&ct=ga&cd=CAIyGjAyZGMwZGVhNjQ5ZTY3OWY6Y29tOmVuOlVT&usg=AOvVaw0OPWgXnIlP9bdqBtcPaWZQ	https://economictimes.indiatimes.com/news/economy/infrastructure/dp-world-aims-to-expand-multimodal-logistics-operations-says-india-ceo-rizwan-soomar/articleshow/95055409.cms	economictimes	2022-10-24 08:24:43 +0400
